Ensembl_ID,KEGG_ID,Modified Pathway IDs
ENSMUSG00000025196,mmu:93721,
ENSMUSG00000037887,mmu:18218,mmu04010
ENSMUSG00000037887,mmu:18218,mmu04148
ENSMUSG00000080115,mmu:100504608,
ENSMUSG00000034855,mmu:15945,mmu04060
ENSMUSG00000034855,mmu:15945,mmu04061
ENSMUSG00000034855,mmu:15945,mmu04062
ENSMUSG00000034855,mmu:15945,mmu04620
ENSMUSG00000034855,mmu:15945,mmu04622
ENSMUSG00000034855,mmu:15945,mmu04623
ENSMUSG00000034855,mmu:15945,mmu04657
ENSMUSG00000034855,mmu:15945,mmu04668
ENSMUSG00000034855,mmu:15945,mmu05160
ENSMUSG00000034855,mmu:15945,mmu05164
ENSMUSG00000034855,mmu:15945,mmu05169
ENSMUSG00000034855,mmu:15945,mmu05171
ENSMUSG00000022877,mmu:94175,
ENSMUSG00000004356,mmu:70683,
ENSMUSG00000020330,mmu:15366,mmu04512
ENSMUSG00000027490,mmu:13555,mmu01522
ENSMUSG00000027490,mmu:13555,mmu04110
ENSMUSG00000027490,mmu:13555,mmu04137
ENSMUSG00000027490,mmu:13555,mmu04218
ENSMUSG00000027490,mmu:13555,mmu04934
ENSMUSG00000027490,mmu:13555,mmu05160
ENSMUSG00000027490,mmu:13555,mmu05161
ENSMUSG00000027490,mmu:13555,mmu05163
ENSMUSG00000027490,mmu:13555,mmu05165
ENSMUSG00000027490,mmu:13555,mmu05166
ENSMUSG00000027490,mmu:13555,mmu05167
ENSMUSG00000027490,mmu:13555,mmu05169
ENSMUSG00000027490,mmu:13555,mmu05200
ENSMUSG00000027490,mmu:13555,mmu05206
ENSMUSG00000027490,mmu:13555,mmu05207
ENSMUSG00000027490,mmu:13555,mmu05212
ENSMUSG00000027490,mmu:13555,mmu05214
ENSMUSG00000027490,mmu:13555,mmu05215
ENSMUSG00000027490,mmu:13555,mmu05218
ENSMUSG00000027490,mmu:13555,mmu05219
ENSMUSG00000027490,mmu:13555,mmu05220
ENSMUSG00000027490,mmu:13555,mmu05222
ENSMUSG00000027490,mmu:13555,mmu05223
ENSMUSG00000027490,mmu:13555,mmu05224
ENSMUSG00000027490,mmu:13555,mmu05225
ENSMUSG00000027490,mmu:13555,mmu05226
ENSMUSG00000020083,mmu:69894,
