Pathway ID,Associated IDs
mmu04024,"mmu:14281, mmu:16476, mmu:20682, C00186, C00020"
mmu04211,"mmu:11911, mmu:64930, mmu:51897, C00003, C00020"
mmu00330,"mmu:56189, mmu:20603, mmu:69051, C00025, C00300, C00019"
mmu00250,"mmu:27053, C00158, C00122, C00025, C00064, C00041, C00152, C00049"
mmu04713,"mmu:14281, C00025"
mmu04148,"mmu:18218, mmu:26415, mmu:53357, mmu:22259, C00186, C00002, C00003, C00019"
mmu05211,"mmu:16476, mmu:18591, C00122, C00149"
mmu00350,"mmu:13195, C00122, C00082"
mmu04066,"mmu:22041, C00186, C00002"
mmu00450,"mmu:232223, mmu:26462, C00041"
mmu04727,"mmu:14402, C00025, C00064"
mmu00770,"mmu:22361, mmu:99586, mmu:12035, mmu:64705, mmu:209558, C00106, C00049, C00141"
mmu04723,"mmu:26415, mmu:226646, mmu:66082, mmu:14402, C00025, C00157"
mmu04728,"mmu:26415, mmu:14281, mmu:13195, mmu:11911, C00082"
mmu05032,"mmu:14402, C00020"
mmu00410,"mmu:99586, mmu:64705, C00106, C00049, C00135"
mmu04911,"mmu:11911, mmu:12424, C00002"
mmu00260,"mmu:257635, mmu:19193, mmu:100678, mmu:107272, C00037, C00114, C00049, C00300, C01026, C00188"
mmu04925,"mmu:15370, mmu:11911, C00003, C00020"
mmu04931,"mmu:22259, C00043, C02571"
mmu04978,"mmu:171429, mmu:22041, C00064, C00037, C00041, C00152, C00188, C00407, C00123, C00079"
mmu00640,"mmu:56451, C00186"
mmu00280,"mmu:52538, mmu:12035, mmu:110446, C00407, C00123, C00141"
mmu00053,"mmu:22238, mmu:112417, mmu:100559, C00029, C00137"
mmu00040,"mmu:22238, mmu:112417, mmu:100559, mmu:11997, C00029"
mmu00590,"mmu:66469, mmu:19215, mmu:13118, mmu:53357, mmu:13110, mmu:12409, C00157"
mmu00290,"mmu:12035, mmu:257635, C00188, C00407, C00123, C00141"
mmu00600,"mmu:53897, C00346"
mmu05016,"mmu:66445, mmu:17710, mmu:74764, mmu:13411, mmu:51897, mmu:22146, mmu:226646, C00025"
mmu05231,"mmu:14281, mmu:16476, mmu:64930, mmu:18591, C00114, C00157"
mmu00270,"mmu:12035, mmu:257635, mmu:20603, mmu:107272, C00041, C00049, C00019"
mmu00591,"mmu:53357, mmu:13110, C00157"
mmu00561,"mmu:11997, mmu:14933, C00029"
mmu04720,"mmu:11911, C00025"
mmu04611,"mmu:110135, mmu:26415, C00002"
mmu00340,"mmu:243537, C00025, C00049, C00135"
mmu05033,"mmu:14402, C00025"
mmu04070,"mmu:97287, mmu:114663, C00137"
mmu00785,"mmu:117147, C00037, C00141"
mmu05030,"mmu:16476, mmu:13195, mmu:11911, C00025, C00082"
mmu04068,"mmu:12442, mmu:18817, mmu:12443, mmu:26415, mmu:268697, mmu:21812, C00025, C00020"
mmu04936,"mmu:12443, mmu:26415, mmu:12268, mmu:11370, mmu:12266, C00003"
mmu00500,"mmu:209558, C00029"
mmu05012,"mmu:66445, mmu:17710, mmu:11911, mmu:74764, mmu:68015, mmu:22146, mmu:226646, C00002, C00020, C00082"
mmu02010,"mmu:18669, mmu:21355, C00137, C00025, C00064, C00037, C00245, C00114, C00041, C00049, C00188, C00407, C00123, C00135, C00079"
mmu00480,"mmu:93674, mmu:20135, mmu:103140, mmu:14865, mmu:14860, mmu:75475, mmu:100504710, mmu:68396, mmu:14863, mmu:14862, mmu:20603, mmu:14858, mmu:20133, C00025, C00037"
mmu05017,"mmu:114896, mmu:51897, C00025"
mmu00650,"mmu:117147, mmu:110446, C00122, C00025"
