Ensembl_ID,KEGG_ID
ENSMUSG00000025196,mmu:93721
ENSMUSG00000037887,mmu:18218
ENSMUSG00000080115,mmu:100504608
ENSMUSG00000034855,mmu:15945
ENSMUSG00000022877,mmu:94175
ENSMUSG00000004356,mmu:70683
ENSMUSG00000020330,mmu:15366
ENSMUSG00000027490,mmu:13555
ENSMUSG00000020083,mmu:69894
ENSMUSG00000026981,mmu:16181
ENSMUSG00000022026,mmu:380924
ENSMUSG00000037440,mmu:22361
ENSMUSG00000071547,mmu:70021
ENSMUSG00000028937,mmu:70025
ENSMUSG00000051262,mmu:93674
ENSMUSG00000046840,Not found
ENSMUSG00000048572,mmu:226040
ENSMUSG00000097927,Not found
ENSMUSG00000023015,mmu:26934
ENSMUSG00000041939,mmu:17855
ENSMUSG00000019942,mmu:12534
ENSMUSG00000028356,mmu:11699
ENSMUSG00000032218,mmu:12442
ENSMUSG00000027306,mmu:108907
ENSMUSG00000028970,mmu:18669
ENSMUSG00000042029,mmu:76044
ENSMUSG00000000934,mmu:72960
ENSMUSG00000072949,mmu:26897
ENSMUSG00000070661,mmu:66825
ENSMUSG00000023505,mmu:14793
ENSMUSG00000032081,mmu:11814
ENSMUSG00000024521,mmu:58801
ENSMUSG00000042041,mmu:69861
ENSMUSG00000031016,mmu:22390
ENSMUSG00000026683,mmu:66977
ENSMUSG00000079262,mmu:28254
ENSMUSG00000031383,mmu:75590
ENSMUSG00000055137,mmu:192136
ENSMUSG00000026417,mmu:18703
ENSMUSG00000040258,mmu:104080
ENSMUSG00000027323,mmu:19361
ENSMUSG00000079553,mmu:100502766
ENSMUSG00000024799,mmu:73166
ENSMUSG00000034163,mmu:216345
ENSMUSG00000039824,mmu:216459
ENSMUSG00000027223,mmu:19099
ENSMUSG00000033308,mmu:99586
ENSMUSG00000053168,Not found
ENSMUSG00000040204,mmu:68026
ENSMUSG00000024330,mmu:12815
ENSMUSG00000037773,mmu:319513
ENSMUSG00000109161,Not found
ENSMUSG00000028678,mmu:73804
ENSMUSG00000026628,mmu:11910
ENSMUSG00000030609,mmu:68048
ENSMUSG00000033831,mmu:110135
ENSMUSG00000034311,mmu:16571
ENSMUSG00000001228,mmu:18140
ENSMUSG00000050373,mmu:101113
ENSMUSG00000034456,mmu:243537
ENSMUSG00000045273,mmu:26886
ENSMUSG00000025650,mmu:12836
ENSMUSG00000030781,mmu:246787
ENSMUSG00000046380,mmu:16469
ENSMUSG00000028457,mmu:320571
